Place,Address,Coordinates,Place ID
The Saxon Clinic,"V7 Saxon St, Coffee Hall, Milton Keynes MK6 5LR, United Kingdom","{'lat': 52.0257055, 'lng': -0.7403794}",ChIJ441GS8mqd0gRJmcpEfu7xRk
The Shelburne Hospital,"Queen Alexandra Rd, High Wycombe HP11 2TR, United Kingdom","{'lat': 51.6263259, 'lng': -0.7555912}",ChIJH5P_99lhdkgR8xpRQr2cFxg
Shirley Oaks Hospital,"Poppy Ln, Croydon CR9 8AB, United Kingdom","{'lat': 51.3822175, 'lng': -0.05634799999999999}",ChIJ2cahUvoAdkgRs2dBFhpL_gY
The Sloane Hospital,"125 Albemarle Rd, Beckenham BR3 5HS, United Kingdom","{'lat': 51.4083325, 'lng': -0.0045686}",ChIJx_1ydd4BdkgRy0z23C0q27s
BMI The Somerfield Hospital,"63-77 London Rd, Maidstone ME16 0DU, United Kingdom","{'lat': 51.27674440000001, 'lng': 0.5076887999999999}",ChIJHwIMsM4z30cRszmW_nQri3A
Thornbury Hospital,"312 Fulwood Rd, Sheffield S10 3BR, United Kingdom","{'lat': 53.3741721, 'lng': -1.5173953}",ChIJ_w-6wA6CeUgRjG4553wKFHw
Three Shires Hospital,"The Avenue, Cliftonville, Northampton NN1 5DR, United Kingdom","{'lat': 52.2360266, 'lng': -0.8744584999999999}",ChIJNV05eNMOd0gRg57xM3YWu2s
The Winterbourne Hospital,"Herringston Rd, Dorchester DT1 2DR, United Kingdom","{'lat': 50.70100600000001, 'lng': -2.4420131}",ChIJM549-NFZckgR962Ffh9d4YY
The Edgbaston Hospital,"22 Somerset Rd, Birmingham B15 2QD, United Kingdom","{'lat': 52.45782, 'lng': -1.932901}",ChIJWeRLeLO9cEgRr_Zaz-_o2Qs
St Edmunds Hospital,"St Mary's Square, Bury Saint Edmunds IP33 2AA, United Kingdom","{'lat': 52.2401792, 'lng': 0.7190261}",ChIJu9UelFBM2EcR0ng1ckY3ADQ
The Duchy Hospital,"Queen's Road, Harrogate HG2 0HF, United Kingdom","{'lat': 53.987492, 'lng': -1.5478096}",ChIJpVImClhReUgRPmS1Fhw_9ys
The Huddersfield Hospital,"Birkby Hall Rd, Huddersfield HD2 2BL, United Kingdom","{'lat': 53.6589926, 'lng': -1.8001838}",ChIJp0MgAF7ce0gR8lneAq0xuJU
The Lancaster Hospital,"Meadowside, Lancaster LA1 3RH, United Kingdom","{'lat': 54.0432764, 'lng': -2.79546}",ChIJddi0vYdie0gRLFYCePm3Hws
The Lincoln Hospital,"Nettleham Rd, Lincoln LN2 1QU, United Kingdom","{'lat': 53.23843, 'lng': -0.5331096}",ChIJxRmAxBRbeEgRaliesOY3Uns
Mount Alvernia Hospital,"Harvey Rd, Guildford GU1 3LX, United Kingdom","{'lat': 51.23573039999999, 'lng': -0.564307}",ChIJ_-XDm57QdUgRkNerNBCvxxE
Southend Private Hospital,"15-17 Fairfax Dr, Westcliff-on-Sea, Southend-on-Sea, Westcliff-on-Sea SS0 9AG, United Kingdom","{'lat': 51.5506517, 'lng': 0.7018616999999999}",ChIJ14b5y6jZ2EcRG5cB1AXAPjM
BMI Gisburne Park Hospital,"Park Rd, Clitheroe BB7 4HX, United Kingdom","{'lat': 53.9432619, 'lng': -2.267455}",ChIJVU0dYgiPe0gRzwil8r4HkZo
"Practice Plus Group Hospital, Plymouth","20 Brest Rd, Plymouth PL6 5XP, United Kingdom","{'lat': 50.4125376, 'lng': -4.118632499999999}",ChIJo3gztRftbEgROcax9wRC0pk
Gloucester Health Access Centre,"Quayside House, Quay St, Gloucester GL1 2TZ, United Kingdom","{'lat': 51.86619899999999, 'lng': -2.2514296}",ChIJ17RoV3cGcUgRro-_QdQ5iTo
St Hugh's Hospital,"Peaks Ln, Grimsby DN32 9RP, United Kingdom","{'lat': 53.5504927, 'lng': -0.0717085}",ChIJBVepPziDeEgRk8ewinPO2Ug
"Practice Plus Group Surgical Centre, Gillingham","Beechings Way, Gillingham ME8 6AD, United Kingdom","{'lat': 51.3812819, 'lng': 0.5767605}",ChIJjfDAbI_S2EcR1P-IgiHOHY0
Eccleshill Treatment Centre,"Harrogate Rd, Bradford BD10 0EP, United Kingdom","{'lat': 53.8237834, 'lng': -1.7116882}",ChIJufu-483je0gR2u6byj4rE4o
Gloucester Health Access Centre,"Quayside House, Quay St, Gloucester GL1 2TZ, United Kingdom","{'lat': 51.86619899999999, 'lng': -2.2514296}",ChIJ17RoV3cGcUgRro-_QdQ5iTo
One Healthcare Group,"Tallis House, 2 Tallis St, London EC4Y 0AB, United Kingdom","{'lat': 51.511703, 'lng': -0.1066003}",ChIJ-VqCZbIEdkgRFm8uOWmWEkE
Bath Circle,"3 Northampton St, Bath BA1 2SN, United Kingdom","{'lat': 51.38840339999999, 'lng': -2.3666321}",ChIJu5BA8WqBcUgRnpjt7qHsQ6o
Nottingham NHS Treatment Centre,"Lister Rd, Lenton, Nottingham NG7 2FT, United Kingdom","{'lat': 52.9427336, 'lng': -1.1826797}",ChIJdaMNvBDCeUgRxsnqv4KD29Q
Circle Reading Hospital,"100 Drake Way, Reading RG2 0NE, United Kingdom","{'lat': 51.4293257, 'lng': -0.9764983}",ChIJa5LEj2ObdkgRXEAst2IORLQ
Ashtead Hospital,"The Warren, Ashtead KT21 2SB, United Kingdom","{'lat': 51.304466, 'lng': -0.303313}",ChIJi9Wil3XhdUgRyEYhg-II3rY
Berkshire Independent Hospital,"Swallows Croft, Wensley Rd, Coley Park, Reading RG1 6UZ, United Kingdom","{'lat': 51.444408, 'lng': -0.988281}",ChIJ4fUsZnSbdkgR2R-20IMBW10
Duchy Hospital,"Penventinnie Ln, Treliske, Truro TR1 3UP, United Kingdom","{'lat': 50.26803229999999, 'lng': -5.0938173}",ChIJz_z5gJAXa0gRXhvGrbJ6wGw
Euxton Hall Hospital,"Wigan Rd, Euxton, Chorley PR7 6DY, United Kingdom","{'lat': 53.6608426, 'lng': -2.6762494}",ChIJm7POdgsNe0gResWTN_LSmSE
Fitzwilliam Hospital,"Milton Way, South Bretton, Peterborough PE3 9AQ, United Kingdom","{'lat': 52.5764702, 'lng': -0.2975268}",ChIJF1TgUNTzd0gR-f9pbaOpu_s
Mount Stuart Hospital,"St Vincent's Rd, Torquay TQ1 4UP, United Kingdom","{'lat': 50.47494, 'lng': -3.5416796}",ChIJAaVt_sEPbUgR77JD0AMU_go
New Hall Hospital,"Bodenham, Salisbury SP5 4EW, United Kingdom","{'lat': 51.0326274, 'lng': -1.7635443}",ChIJa20VONC2d0gR7nzhZYnJmmk
North Downs Hospital,"46 Tupwood Ln, Caterham CR3 6DP, United Kingdom","{'lat': 51.2742673, 'lng': -0.0806337}",ChIJO9ppeLD-dUgRii9RZxdvxKk
Oaks Hospital,"120 Mile End Rd, Colchester CO4 5XR, United Kingdom","{'lat': 51.9063135, 'lng': 0.8949995}",ChIJG1IxAEQE2UcRo4MtYS9qyT4
Park Hill Hospital,"Thorne Rd, Doncaster DN2 5TH, United Kingdom","{'lat': 53.5304642, 'lng': -1.1118317}",ChIJYRnZ7jsOeUgRZ2FzmHWb6XY
Pinehill Hospital,"Pinehill Hospital, Benslow Ln, Hitchin SG4 9QZ, United Kingdom","{'lat': 51.949562, 'lng': -0.262448}",ChIJCxWr1-kzdkgR-zyMfOU5DIE
Renacres Hospital,"17 Renacres Ln, Halsall, Ormskirk L39 8SE, United Kingdom","{'lat': 53.60092059999999, 'lng': -2.9543846}",ChIJeVeH0-I8e0gRzEUmsQjfBbU
Springfield Hospital,"Lawn Ln, Springfield, Chelmsford CM1 7GU, United Kingdom","{'lat': 51.753388, 'lng': 0.484683}",ChIJgyojuFzp2EcRxtyouDwPzBs
Rivers Hospital,"High Wych Rd, Sawbridgeworth CM21 0HH, United Kingdom","{'lat': 51.8081452, 'lng': 0.1356525}",ChIJMfFh0aCb2EcRH-66ekzbAsg
The Yorkshire Clinic,"Bradford Rd, Bingley BD16 1TW, United Kingdom","{'lat': 53.8324277, 'lng': -1.8182743}",ChIJFaCmg7Dle0gR3DhxHyKzLuY
West Midlands Hospital,"Colman Hill, Halesowen B63 2AH, United Kingdom","{'lat': 52.4575358, 'lng': -2.0770369}",ChIJD6p6SMyWcEgRQh1ENlu6oQk
Winfield Hospital,"Tewkesbury Rd, Longford, Gloucester GL2 9WH, United Kingdom","{'lat': 51.8805624, 'lng': -2.2413388}",ChIJAX46u4MGcUgRb2FsC4wEJ9E
Woodland Hospital,"Woodland Hospital, Rothwell Rd, Rothwell, Kettering NN16 8XF, United Kingdom","{'lat': 52.412007, 'lng': -0.7680817}",ChIJ0WOfCTCed0gRVDE-Sr-D6w4
Boston West Hospital,"West Business Park, Sleaford Rd, Boston PE21 8EG, United Kingdom","{'lat': 52.9750481, 'lng': -0.0338935}",ChIJ3VOnhjMKeEgRxNwsbUbRipg
Clifton Park Hospital Ltd,"Shipton Rd, Rawcliffe, York YO30 5RA, United Kingdom","{'lat': 53.9784342, 'lng': -1.1136217}",ChIJV_k_-2kxeUgR3bEecm5-Vxs
Cobalt Hospital,"North, 16 The Silverlink North Silverlink, Newcastle upon Tyne NE27 0BY, United Kingdom","{'lat': 55.0279581, 'lng': -1.5108802}",ChIJHeV6IR1ufkgRs7VbmAaVGHY
Blakelands Hospital,"Smeaton Cl, Blakelands, Milton Keynes MK14 5HR, United Kingdom","{'lat': 52.0740742, 'lng': -0.7434636}",ChIJV3nhB0Oqd0gRCI94a4SK9v4
Woodthorpe Hospital,"748 Mansfield Rd, Woodthorpe, Nottingham NG5 3FZ, United Kingdom","{'lat': 52.9904391, 'lng': -1.1388946}",ChIJZVGSywTBeUgRwGBEJ3ZVeyI
The Westbourne Centre,"53 Church Rd, Birmingham B15 3SJ, United Kingdom","{'lat': 52.46702879999999, 'lng': -1.9225854}",ChIJ-wMXQVG8cEgRiJmlMa3WVms
Fairfield General Hospital,"Rochdale Old Rd, Bury BL9 7TD, United Kingdom","{'lat': 53.6004438, 'lng': -2.2548069}",ChIJm_J6zzu7e0gRu0zajyYbgxs
Cobham Day Surgery,"168 Portsmouth Rd, Cobham KT11 1HT, United Kingdom","{'lat': 51.334767, 'lng': -0.4079614}",ChIJP_HZGpDfdUgRqe3n8atjRVc
Old Town Surgery,"14 Curie Ave, Okus, Swindon SN1 4GB, United Kingdom","{'lat': 51.5501504, 'lng': -1.7961127}",ChIJ7ymjEmdEcUgRSuX7yETpMV4
Hathaway Medical Centre,"Middlefield Rd, Chippenham SN14 6GT, United Kingdom","{'lat': 51.4676014, 'lng': -2.1394249}",ChIJdepCVe56cUgRj1QXK-qL81I
Middleport Medical Centre.,"Newport Ln, Stoke-on-Trent ST6 3NP, United Kingdom","{'lat': 53.04128069999999, 'lng': -2.2065161}",ChIJ8awfob1CekgRx7XcPpYXvL4
Great Western Hospital,"Marlborough Rd, Swindon SN3 6BB, United Kingdom","{'lat': 51.5386277, 'lng': -1.727874}",ChIJa2MyBnxFcUgRc9Cn11z7-Ac
"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel","One West St, Pittsfield, MA 01201, United States","{'lat': 42.44787400000001, 'lng': -73.255357}",ChIJ9U3rbjhO54kRT7U61rYitD4
White Horse Health Centre,"Mane Way, Westbury BA13 3FQ, United Kingdom","{'lat': 51.2526577, 'lng': -2.2031742}",ChIJ84PuJCLUc0gRQ2jsai0nHj8
BHI Parkside,"Stourbridge Rd, Bromsgrove B61 0AZ, United Kingdom","{'lat': 52.3374742, 'lng': -2.0596683}",ChIJWbuk_FHrcEgR5uBh2-x7Z_I
Lawn Medical Centre,"Guildford Ave, Lawn, Swindon SN3 1JL, United Kingdom","{'lat': 51.5476848, 'lng': -1.7614115}",ChIJ6w2sPalFcUgRyXLqyw00u6w
Pain Management Solutions,"3 Vine Terrace, Hucknall, Nottingham NG15 7HN, United Kingdom","{'lat': 53.0371521, 'lng': -1.2012269}",ChIJx_GOsgHAeUgRwR_NAr8DIfA
Nuffield Health The Holly Hospital,"High Rd, Buckhurst Hill IG9 5HX, United Kingdom","{'lat': 51.6244266, 'lng': 0.0320593}",ChIJZexZIemg2EcR9bPpzZhL620
Nuffield Health Parkside Hospital,"53 Parkside, London SW19 5NX, United Kingdom","{'lat': 51.4357845, 'lng': -0.2238555}",ChIJ948V4y0PdkgR0V27hfs56xA
Highgate Private Hospital,"17-19 View Rd, London N6 4DJ, United Kingdom","{'lat': 51.5764997, 'lng': -0.1568464}",ChIJmybxDUcadkgRSOVAjdPYIiM
Spire Claremont Hospital,"401 Sandygate Rd, Sheffield S10 5UB, United Kingdom","{'lat': 53.37559109999999, 'lng': -1.5351724}",ChIJR8tMDvyBeUgRQCQQTCMKwtU
Midland Eye,"50 Lode Ln, Birmingham, Solihull B91 2AW, United Kingdom","{'lat': 52.4196111, 'lng': -1.7758265}",ChIJp0bsgFi3cEgRwCnabVOSGVQ
Care At Home Group Warrington,"Unit W1, Warrington Business Park, Long Ln, Warrington WA2 8TX, United Kingdom","{'lat': 53.40607139999999, 'lng': -2.5857815}",ChIJ30RX07EBe0gR7ioaUlUpKy0
Let's Go Tees Valley,"Town Hall, Feethams, Darlington DL1 5QT, United Kingdom","{'lat': 54.52357629999999, 'lng': -1.5528357}",ChIJ0-Oe98-bfkgRmPNVOQiEPvE
Community Mental Health North West Area Team,"Macartney House, Beech Mount, Harpurhey, Manchester M9 5XS, United Kingdom","{'lat': 53.51037609999999, 'lng': -2.2165637}",ChIJBxPzh1ewe0gRHRtlg-rk60s
Lancashire Football Association,"County Ground, Thurston Rd, Leyland PR25 2LF, United Kingdom","{'lat': 53.6932704, 'lng': -2.6937927}",ChIJo20bKEUNe0gRrqn2LmiE8Ck
